source,target,weight
foiegrasbrioche,vidio,1
jooanney,vidio,1
Rizallzzz,vidio,1
sandymp17,vidio,1
cinguk48,vidio,1
vidio,tigaatmojo,1
tigaatmojo,vidio,1
naminrise,vidio,1
vidio,tohirp1000,1
Gooners_Report,vidio,1
bangbengreza,vidio,1
bangbengreza,netrasamsara,1
SHadromy,vidio,1
genzed,vidio,1
genzed,JCIndonesia,1
TavriD,vidio,1
sonijabluk,vidio,1
Deektra,vidio,1
EllenAgustinaV1,vidio,1
kamalcha08,ahasyari_inet,1
ahasyari_inet,vidio,1
EMAGE07,vidio,1
xxalmirangrhn,vidio,1
vidio,Widya_skb,1
widhi_rino,vidio,1
anaisbleuette,vidio,1
inisialfr,vidio,1
vidio,ikan_kerapu,1
aand_tjg,JCIndonesia,1
aand_tjg,beINSPORTSid,1
aand_tjg,vidio,1
aand_tjg,pradipta_ale,1
vidio,arisaijaz,1
bilonk,vidio,1
vidio,dicka_postman,1
dicka_postman,vidio,1
tjahyo07,vidio,1
tjahyo07,realmadrid,1
vidio,toleeeee,1
toleeeee,vidio,1
afdal_1,vidio,1
vidio,eriksonnn_,1
eriksilalahii,vidio,1
vidio,Galih_RN29,1
Galih_RN29,vidio,1
JhonySagara,Indo_Gunner,1
JhonySagara,vidio,1
vidio,luthfimzhr,1
luthfimzhr,vidio,1
holidunnn,vidio,1
itshnfrs,vidio,1
vidio,okemen__,1
okemen__,vidio,1
vidio,grafitiiix,1
vic_hasiholan,IDGoonerscom,1
vic_hasiholan,vidio,1
dewaunitedfc_,AhmadNufiandani,1
mitchieGG,JCIndonesia,1
mitchieGG,beINSPORTSid,1
mitchieGG,vidio,1
mitchieGG,pradipta_ale,1
vidio,Nevertoloser,1
Nevertoloser,vidio,1
vidio,FathurTube4,1
vidio,holidunnn,1
mray_1995,firzieidris,1
mray_1995,vidio,1
Fol1eadeux,Iwan404k,1
Fol1eadeux,idextratime,1
Fol1eadeux,vidio,1
vidio,Iwan404k,1
WCI_27,dagnesia,1
WCI_27,officialJKT48,1
Iwan404k,idextratime,1
Iwan404k,vidio,1
vidio,bagusmuhamd,1
bagusmuhamd,idextratime,1
bagusmuhamd,vidio,1
vidio,anaksholeh666,1
vidio,TheSouthers,1
vidio,leirarartup,1
TheSouthers,Indostransfer,1
leirarartup,vidio,1
vidio,wirabattana,1
wirabattana,vidio,1
vidio,jullianrp13,1
diarsipkan,vidio,1
bunayadarunawa,vidio,1
vidio,sbqux,1
sbqux,vidio,1
Mr_bagja,idextratime,1
Mr_bagja,OfficialRCTI,1
Mr_bagja,vidio,1
ardian_mp,SPOTV_Indonesia,1
andryn170403,SpieltagIndo,1
waffleheads,vidio,1
leonaldo_710,idextratime,1
menantuRT24,vidio,1
robertdenura,vidio,1
_call_me_ALI_,vidio,1
leonaldo_710,vidio,1
Indo_Gunner,JhonySagara,1
Indo_Gunner,vidio,1
inginuangbanyak,thejurgenholic,1
inginuangbanyak,bliblidotcom,1
JCIndonesia,_call_me_ALI_,1
_call_me_ALI_,JCIndonesia,1
gundala_geledek,vidio,1
nanascrispyy,vidio,1
dian_9395,vidio,1
BenjaminBanglor,vidio,1
irulrizal,vidio,1
langityangbiiru,vidio,1
JCIndonesia,agiananugraha,1
JCIndonesia,beINSPORTSid,1
SCTV,itsmekiui,1
dnrmzki,Indosiar,1
dnrmzki,vidio,1
WCI_27,Dsinathrya,1
vidio,bonk_taishou,1
xtwoth,vidio,1
WCI_27,SMASHindonesia,1
WCI_27,SCTV,1
WCI_27,mojiupdates,1
WCI_27,vidio,1
vidio,hmbhay,1
vidio,wotlly,1
vidio,txtofmylife,1
txtofmylife,vidio,1
wantooo__,vidio,1
itsrey__,DemonSlime21,1
judebellzy,pawrellll,1
judebellzy,vidio,1
judebellzy,VidioSports,1
hsumantri00,Greenesia27,1
